model,h,n,MAE,MAE_naive,dMAE_pct,RMSE,DA,DM,DM_p
Naive,1,122,1567.3,1567.3,0.0,3811.2,0.098,,
Chronos,1,122,1589.7,1567.3,1.43,3848.3,0.516,0.619,0.5361
AutoARIMA,1,122,1594.9,1567.3,1.76,3870.5,0.377,0.858,0.3909
SARIMAX,1,122,1607.9,1567.3,2.59,3893.5,0.451,1.441,0.1497
VECM,1,122,1634.6,1567.3,4.29,3841.0,0.467,1.657,0.0976
Naive,5,121,3508.1,3508.1,0.0,5587.9,0.008,,
Chronos,5,121,3543.0,3508.1,0.99,5581.3,0.463,0.299,0.7652
SARIMAX,5,121,3611.4,3508.1,2.94,5944.1,0.43,1.366,0.172
AutoARIMA,5,121,3693.0,3508.1,5.27,6183.3,0.554,0.804,0.4213
VECM,5,121,3704.6,3508.1,5.6,5956.9,0.537,1.461,0.1439
NBEATSx,5,121,3897.0,3508.1,11.09,6269.8,0.579,1.363,0.1729
NHITS,5,121,4147.2,3508.1,18.22,6638.4,0.595,1.727,0.0842
Naive,21,118,8646.5,8646.5,0.0,11385.4,0.0,,
Chronos,21,118,8907.7,8646.5,3.02,11335.4,0.492,1.065,0.2869
SARIMAX,21,118,9401.3,8646.5,8.73,13245.7,0.466,1.104,0.2695
AutoARIMA,21,118,9633.6,8646.5,11.42,13458.3,0.466,1.203,0.2289
NHITS,21,118,9882.8,8646.5,14.3,13826.7,0.559,1.43,0.1527
NBEATSx,21,118,10305.7,8646.5,19.19,14274.2,0.568,2.036,0.0418
VECM,21,118,10455.4,8646.5,20.92,13509.5,0.466,2.39,0.0169
Chronos,63,109,15737.5,15878.7,-0.89,19816.0,0.541,-0.249,0.8034
Naive,63,109,15878.7,15878.7,0.0,19976.4,0.009,,
SARIMAX,63,109,18629.4,15878.7,17.32,27511.6,0.468,2.162,0.0307
AutoARIMA,63,109,20004.1,15878.7,25.98,29549.9,0.55,3.6,0.0003
VECM,63,109,21334.3,15878.7,34.36,26925.4,0.541,7.811,0.0
NBEATSx,63,109,25361.8,15878.7,59.72,37500.6,0.679,0.85,0.3954
NHITS,63,109,25366.1,15878.7,59.75,36623.3,0.633,0.936,0.3495
