model,h,n,MAE,MAE_naive,dMAE_pct,RMSE,DA,DM,DM_p
NHITS,5,121,4147.2,3508.1,18.22,6638.4,0.595,1.727,0.0842
NBEATSx,5,121,3897.0,3508.1,11.09,6269.8,0.579,1.363,0.1729
NHITS,21,118,9882.8,8646.5,14.3,13826.7,0.559,1.43,0.1527
NBEATSx,21,118,10305.7,8646.5,19.19,14274.2,0.568,2.036,0.0418
NHITS,63,109,25366.1,15878.7,59.75,36623.3,0.633,0.936,0.3495
NBEATSx,63,109,25361.8,15878.7,59.72,37500.6,0.679,0.85,0.3954
Chronos,1,122,1589.7,1567.3,1.43,3848.3,0.516,0.619,0.5361
Chronos,5,121,3543.0,3508.1,0.99,5581.3,0.463,0.299,0.7652
Chronos,21,118,8907.7,8646.5,3.02,11335.4,0.492,1.065,0.2869
Chronos,63,109,15737.5,15878.7,-0.89,19816.0,0.541,-0.249,0.8034
