Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,1567.343442622951,3811.21932815406,1.459466053823041,5.228003781925034,9.836065573770492
"ARIMAX(1,1,1)",1604.8225448669286,3886.8865214998505,1.4964765391462729,5.353018429606057,46.72131147540984
XGBoost,2146.430161372951,4165.359520090594,2.0501285484511915,7.159595463337939,45.90163934426229
LightGBM,2469.3920559456783,4401.226874129862,2.3910390671019384,8.236861594249412,45.90163934426229
Lasso,2326.9819817864845,4527.319322182267,2.1877526914248957,7.761841004606,45.08196721311475
ElasticNet,2341.8734598200813,4528.663687600763,2.2033342948342383,7.811512762155073,40.98360655737705
Ridge,2344.431423102542,4532.517468796515,2.2054533340503264,7.820045060406406,40.98360655737705
RandomForest,2358.546106800294,4558.242294513528,2.2604341614719456,7.8671257561529835,45.90163934426229
SVR,3187.536521336945,5573.703613874953,3.1498816095287068,10.632291899397451,46.72131147540984
kNN,3761.9877049180327,6094.119760991591,3.643670037110293,12.548421369571088,48.36065573770492
