Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,15878.677064220185,19976.388004594115,16.039970709378583,52.96464162620654,0.9174311926605505
RandomForest,16294.213610887746,20585.102018232174,16.173055699029774,54.35069817158662,47.706422018348626
XGBoost,16656.668270135582,20643.25371742167,16.30813822557181,55.55969568788904,49.54128440366973
SVR,17193.068867077676,21106.600930715776,16.715693145376868,57.348904276880305,52.293577981651374
LightGBM,17358.826986013057,21439.469224686305,17.02349098756078,57.90180420239294,48.62385321100918
ElasticNet,20070.47509580741,23994.5918529734,19.260334095657036,66.94673091579428,50.45871559633027
Ridge,20512.764572345895,24569.843651192976,19.36507268945973,68.4220240730995,51.37614678899083
kNN,20702.004403669725,24587.971512138472,20.388824515616495,69.05324919386574,34.862385321100916
Lasso,20910.39509848923,25051.39901013844,19.21114330191069,69.74835360493924,50.45871559633027
"ARIMAX(1,1,1)",18208.207576219276,25816.829693559815,17.316485764223053,60.734983464278606,43.11926605504588
