model,h,sample,n,MAE,RMSE,DA
"ARIMA(1,1,1)",1,COMMON,122,1576.7,3829.8,0.4672
"ARIMA(1,1,1)",1,MAX,124,1355.8,2371.6,0.4113
"ARIMA(1,1,1)",5,COMMON,121,3555.0,5939.7,0.5041
"ARIMA(1,1,1)",5,MAX,123,3877.9,5952.2,0.5203
"ARIMA(1,1,1)",21,COMMON,118,9587.4,13772.4,0.5
"ARIMA(1,1,1)",21,MAX,120,9790.3,13569.2,0.375
"ARIMA(1,1,1)",63,COMMON,109,18601.3,29622.2,0.4954
"ARIMA(1,1,1)",63,MAX,111,18950.7,31002.7,0.4955
AutoARIMA,1,COMMON,122,1594.9,3870.5,0.377
AutoARIMA,1,MAX,124,1408.5,2504.2,0.379
AutoARIMA,5,COMMON,121,3693.0,6183.3,0.5537
AutoARIMA,5,MAX,123,3892.3,6123.3,0.4797
AutoARIMA,21,COMMON,118,9633.6,13458.3,0.4661
AutoARIMA,21,MAX,120,10308.7,14221.0,0.4417
AutoARIMA,63,COMMON,109,20004.1,29549.9,0.5505
AutoARIMA,63,MAX,111,19405.1,29866.9,0.5495
Naive,1,COMMON,122,1567.3,3811.2,0.0984
Naive,1,MAX,123,1320.3,2131.9,0.0976
Naive,5,COMMON,121,3508.1,5587.9,0.0083
Naive,5,MAX,122,3343.4,5322.7,0.0246
Naive,21,COMMON,118,8646.5,11385.4,0.0
Naive,21,MAX,119,8721.9,11377.7,0.0
Naive,63,COMMON,109,15878.7,19976.4,0.0092
Naive,63,MAX,111,15785.9,19700.1,0.0
