model,n,CW_stat,CW_p,GW_uncond_DM,GW_uncond_p,GW_cond_chi2,GW_cond_p,mean_lossdiff
SVR,122,2.631,0.0043,0.4527,0.6508,0.8025,0.6695,256186.0653173773
kNN,122,1.0092,0.1564,-2.5266,0.0115,6.4464,0.0398,-22612902.894013114
XGBoost,122,0.6846,0.2468,-2.3754,0.0175,5.6478,0.0594,-2824827.1643142644
LightGBM,122,0.4202,0.3372,-1.7801,0.0751,3.2469,0.1972,-4845405.230267834
GRU,122,0.3443,0.3653,-1.5128,0.1303,2.3359,0.311,-1948122.9615263597
RandomForest,122,0.2728,0.3925,-1.8725,0.0611,3.9972,0.1355,-6252180.048196853
VECM,122,0.0321,0.4872,-0.4099,0.6819,1.7373,0.4195,-227822.1833666959
LSTM,122,-0.1954,0.5775,-2.1134,0.0346,4.676,0.0965,-3946476.1630638945
Chronos,122,-0.3165,0.6242,-0.7567,0.4492,0.944,0.6238,-284049.43666936667
ARIMA,122,-0.4243,0.6643,-0.9501,0.3421,0.94,0.625,-141976.25197276924
Lasso,122,-0.7049,0.7596,-2.9757,0.0029,9.1744,0.0102,-5971227.477709821
AutoARIMA,122,-0.7954,0.7868,-1.112,0.2661,1.2494,0.5354,-455043.64758411807
ETS,122,-0.81,0.791,-1.1722,0.2411,1.3749,0.5029,-230676.69017357135
"ARIMAX(1,1,1)",122,-0.8823,0.8112,-1.032,0.3021,1.0706,0.5855,-582494.0637221202
SARIMAX,122,-0.9004,0.816,-1.049,0.2942,1.1007,0.5767,-633861.342876944
ElasticNet,122,-0.9315,0.8242,-3.1872,0.0014,10.4743,0.0053,-5983402.028098659
Ridge,122,-0.9522,0.8295,-3.1839,0.0015,10.4321,0.0054,-6018321.837650472
Combination,122,-0.9627,0.8321,-1.1808,0.2377,1.3935,0.4982,-126691.29313583637
Theta,122,-1.9653,0.9753,-2.122,0.0338,11.895,0.0026,-53075.08422581388
