model,n,CW_stat,CW_p,GW_uncond_DM,GW_uncond_p,GW_cond_chi2,GW_cond_p,mean_lossdiff
Chronos,118,1.2108,0.113,-1.0495,0.2939,2.8151,0.2447,-261.2253707627127
RandomForest,118,1.0025,0.158,-2.3622,0.0182,8.5049,0.0142,-1500.1008307691284
LightGBM,118,0.9534,0.1702,-2.3282,0.0199,10.8186,0.0045,-1161.5184787972776
NHITS,118,0.649,0.2582,-1.4089,0.1589,5.1212,0.0773,-1236.3045418432212
NBEATSx,118,0.538,0.2953,-1.9862,0.047,4.6087,0.0998,-1659.2022179555092
kNN,118,0.3278,0.3715,-2.1411,0.0323,6.5198,0.0384,-1144.4402824858769
LSTM,118,0.1851,0.4266,-2.9539,0.0031,10.5539,0.0051,-3528.95319782839
GRU,118,0.087,0.4653,-3.0675,0.0022,9.0894,0.0106,-2403.0328257415263
Theta,118,-0.0207,0.5083,-0.8576,0.3911,11.6505,0.003,-66.99975634519907
XGBoost,118,-0.066,0.5263,-1.9123,0.0558,12.7018,0.0017,-1056.6587725105933
SVR,118,-0.1956,0.5775,-2.1129,0.0346,8.2644,0.016,-1514.693050910433
AutoARIMA,118,-0.2074,0.5821,-1.1899,0.2341,2.0508,0.3586,-987.1065973363903
Combination,118,-0.5128,0.6959,-0.7755,0.438,1.5321,0.4649,-178.43296309968682
ETS,118,-0.5173,0.6975,-0.6602,0.5091,1.5881,0.452,-298.1324803487777
ElasticNet,118,-0.6011,0.7261,-1.8646,0.0622,11.8668,0.0026,-1822.8703466871018
Ridge,118,-0.6317,0.7362,-1.8937,0.0583,11.4687,0.0032,-1881.9455046933851
Lasso,118,-0.8363,0.7985,-2.2059,0.0274,8.317,0.0156,-2504.147427381508
ARIMA,118,-1.0905,0.8622,-1.1483,0.2508,1.3312,0.514,-940.8879565341913
SARIMAX,118,-1.1118,0.8669,-1.1028,0.2701,1.2767,0.5282,-754.8188590899293
"ARIMAX(1,1,1)",118,-1.1181,0.8682,-1.1186,0.2633,1.2692,0.5301,-718.9297432224374
VECM,118,-1.1493,0.8748,-2.3907,0.0168,5.936,0.0514,-1808.8586897548132
