model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,1567.3,3811.2,1.459,5.228,9.8
ETS,1574.3,3841.4,1.465,5.251,41.8
Combination,1575.7,3827.8,1.466,5.256,39.3
ARIMA,1576.7,3829.8,1.468,5.259,46.7
Theta,1579.9,3818.2,1.471,5.27,45.9
Chronos,1589.7,3848.3,1.481,5.303,
AutoARIMA,1594.9,3870.5,1.494,5.32,37.7
"ARIMAX(1,1,1)",1604.8,3886.9,1.496,5.353,46.7
SARIMAX,1607.9,3893.5,1.499,5.363,
VECM,1634.6,3841.0,1.524,5.452,
SVR,1692.2,3777.5,1.598,5.645,52.5
GRU,2037.6,4058.8,1.914,6.797,
LSTM,2097.5,4297.9,1.982,6.996,
XGBoost,2146.4,4165.4,2.05,7.16,45.9
Lasso,2327.0,4527.3,2.188,7.762,45.1
ElasticNet,2341.9,4528.7,2.203,7.812,41.0
Ridge,2344.4,4532.5,2.205,7.82,41.0
RandomForest,2358.5,4558.2,2.26,7.867,45.9
LightGBM,2469.4,4401.2,2.391,8.237,45.9
kNN,3762.0,6094.1,3.644,12.548,48.4
