model,status,p_MCS,MAE_or_MSE
Theta,IN_MCS,0.125,3505.67
Naive,IN_MCS,0.125,3508.14
Chronos,IN_MCS,0.125,3542.99
ARIMA,IN_MCS,0.125,3554.95
Combination,IN_MCS,0.125,3563.21
"ARIMAX(1,1,1)",IN_MCS,0.125,3602.74
SARIMAX,IN_MCS,0.125,3611.38
ETS,IN_MCS,0.125,3680.09
AutoARIMA,IN_MCS,0.125,3692.96
VECM,IN_MCS,0.125,3704.56
NBEATSx,IN_MCS,0.125,3897.03
SVR,IN_MCS,0.125,4088.96
GRU,IN_MCS,0.125,4107.79
NHITS,IN_MCS,0.125,4147.21
Ridge,IN_MCS,0.125,4485.58
ElasticNet,IN_MCS,0.125,4495.18
LSTM,IN_MCS,0.125,5312.16
Lasso,eliminated,0.0137,4542.65
XGBoost,eliminated,0.0137,4758.62
LightGBM,eliminated,0.0023,5006.86
RandomForest,eliminated,0.003,5051.72
kNN,eliminated,0.0023,6037.41
