model,status,p_MCS,MAE_or_MSE
Naive,IN_MCS,0.2477,1567.34
ETS,IN_MCS,0.2477,1574.32
Combination,IN_MCS,0.2477,1575.67
ARIMA,IN_MCS,0.2477,1576.75
Theta,IN_MCS,0.2477,1579.88
Chronos,IN_MCS,0.2477,1589.73
AutoARIMA,IN_MCS,0.2477,1594.86
"ARIMAX(1,1,1)",IN_MCS,0.2477,1604.82
SARIMAX,IN_MCS,0.2477,1607.91
VECM,IN_MCS,0.2477,1634.64
SVR,IN_MCS,0.2477,1692.25
GRU,eliminated,0.005,2037.6
LSTM,eliminated,0.0007,2097.48
XGBoost,eliminated,0.0007,2146.43
Lasso,eliminated,0.0497,2326.98
ElasticNet,eliminated,0.004,2341.87
Ridge,eliminated,0.0007,2344.43
RandomForest,eliminated,0.0007,2358.55
LightGBM,eliminated,0.002,2469.39
kNN,eliminated,0.0003,3761.99
