model,status,p_MCS,MAE_or_MSE
SVR,IN_MCS,0.1263,14269206.7
Naive,IN_MCS,0.1263,14525392.77
Theta,IN_MCS,0.1263,14578467.85
Combination,IN_MCS,0.1263,14652084.06
ARIMA,IN_MCS,0.1263,14667369.02
VECM,IN_MCS,0.1263,14753214.95
ETS,IN_MCS,0.1263,14756069.46
Chronos,IN_MCS,0.1263,14809442.2
AutoARIMA,IN_MCS,0.1263,14980436.41
"ARIMAX(1,1,1)",IN_MCS,0.1263,15107886.83
SARIMAX,IN_MCS,0.1263,15159254.11
GRU,IN_MCS,0.1263,16473515.73
XGBoost,IN_MCS,0.1263,17350219.93
RandomForest,IN_MCS,0.1263,20777572.82
LSTM,eliminated,0.0823,18471868.93
LightGBM,eliminated,0.061,19370798.0
Lasso,eliminated,0.0463,20496620.25
ElasticNet,eliminated,0.0283,20508794.8
Ridge,eliminated,0.0227,20543714.6
kNN,eliminated,0.037,37138295.66
